n,nb_hat,r1_radius,r1_nb_lo,r1_nb_hi,r2_nb_lo,r2_nb_hi,succ_diff_hat,r1_sd_lo,r1_sd_hi,r2_sd_lo,r2_sd_hi,r2_wr_lo,r2_wr_hi
234,-0.48717948717948717,0.20953002384148234,-0.6967095110209696,-0.27764946333800483,-0.6589456766079635,-0.2814059188732734,0.017094017094017096,-0.19243600674746525,0.22662404093549943,-0.13118664525512957,0.16493009043554974,0.17890863051811837,0.5385871208533013
235,-0.48936170212765956,0.20899389674166546,-0.6983555988693251,-0.2803678053859941,-0.6604819652882028,-0.28422154708111536,0.01702127659574468,-0.19197262014592079,0.22601517333741014,-0.1306425133284102,0.16424976961409793,0.17790388623513462,0.5351360289445592
236,-0.4830508474576271,0.20846184055266084,-0.691512688010288,-0.27458900690496624,-0.6548721943113764,-0.27775276048203645,0.0211864406779661,-0.18727539987469474,0.22964828123062694,-0.12659328822362226,0.16841735457212237,0.18210643543987043,0.5434189594293842
237,-0.48523206751054854,0.2079338057534329,-0.6931658732639814,-0.27729826175711564,-0.6564138883779823,-0.2805589321796401,0.02109704641350211,-0.1868367593399308,0.229030852166935,-0.12607220154774343,0.16772884910116714,0.18108996196597907,0.5399573689006076
238,-0.48739495798319327,0.20740974364080894,-0.6948047016240022,-0.2799852143423843,-0.6579418097223553,-0.2833435889803061,0.02100840336134454,-0.1864013402794644,0.2284181470021535,-0.1255553838084726,0.16704594757126157,0.18008480269755442,0.5365393454626992
239,-0.48535564853556484,0.2068896063125147,-0.6922452548480795,-0.27846604222305016,-0.6554561700656327,-0.2821221566723979,0.02092050209205021,-0.1859691042204645,0.22781010840456492,-0.1250427948879896,0.16636858637362842,0.18008480269755442,0.5365393454626992
240,-0.4791666666666667,0.20637334665063178,-0.6855400133172984,-0.2727933200160349,-0.6499423636123538,-0.275781840706865,0.025,-0.1813733466506318,0.23137334665063178,-0.12107488512992856,0.17045109085738658,0.18424723043747615,0.5447061691254793
241,-0.48132780082987553,0.20586091830546538,-0.687188719135341,-0.27546688252441015,-0.6514802960933985,-0.2785499063764864,0.024896265560165973,-0.1809646527452994,0.23075718386563135,-0.12058428882068617,0.16976596093524046,0.18323069603582434,0.5412780965674349
242,-0.4834710743801653,0.2053522756798103,-0.6888233500599756,-0.278118798700355,-0.6530047256099294,-0.2812970928416764,0.024793388429752067,-0.18055888725005823,0.23014566410956236,-0.12009765491012697,0.1690863316709345,0.18222534822838898,0.5378926671144111
243,-0.48559670781893005,0.2048473739136032,-0.6904440817325332,-0.28074933390532686,-0.6545158188652108,-0.2840236338936253,0.024691358024691357,-0.18015601588891184,0.22953873193829455,-0.11961492859287025,0.1684121099519141,0.1812310003818161,0.5345490736491618
244,-0.48770491803278687,0.204346168868951,-0.6920510869017379,-0.28335874916383585,-0.6560137550972525,-0.2867297841022248,0.02459016393442623,-0.17975600493452476,0.22893633280337722,-0.11913607025244197,0.16774324633058954,0.18024747478877234,0.5312465783562125
245,-0.4897959183673469,0.2038486171155237,-0.6936445354828706,-0.2859473012518232,-0.6574987030150939,-0.28941575240115724,0.024489795918367346,-0.17935882119715638,0.22833841303389105,-0.11866104018931488,0.16707966236435642,0.1792745925042053,0.5279843791385899
246,-0.483739837398374,0.2033546759163027,-0.6870945133146767,-0.28038516148207127,-0.6521044807826599,-0.28320109977470187,0.028455284552845527,-0.1748993913634572,0.23180996046914823,-0.11480552127690821,0.17105507014728175,0.18333244676608226,0.5358858305748043
247,-0.48582995951417,0.20286430321367235,-0.6886942627278424,-0.28296565630049764,-0.6535943015987573,-0.28587858553840073,0.02834008097165992,-0.17452422224201244,0.23120438418533226,-0.11435108665030011,0.17038416572910564,0.18234870110700946,0.5326137029001635
248,-0.4798387096774194,0.2023774576158477,-0.6822161672932671,-0.2774612520615717,-0.6482455879449844,-0.2797404672469823,0.03225806451612903,-0.17011939309971866,0.23463552213197672,-0.11053680604504003,0.17430629653315388,0.18639071595541287,0.5404579384023528
249,-0.4819277108433735,0.20189409838362668,-0.6838218092270002,-0.2800336124597468,-0.6497399711824325,-0.28240936509816045,0.028112449799196786,-0.1737816485844299,0.23000654818282346,-0.11477144846475745,0.17033564757151776,0.18539637034802783,0.5371764072201834
250,-0.484,0.20141418541745948,-0.6854141854174595,-0.2825858145825405,-0.6512216612100599,-0.2850587481856346,0.028,-0.17341418541745948,0.22941418541745948,-0.11432253724336623,0.16967535948753354,0.18441260805496465,0.5339342454561161
251,-0.4860557768924303,0.20093767924482506,-0.6869934561372554,-0.2851180976476052,-0.6526908173979042,-0.2876888179327861,0.027888446215139442,-0.1730492330296856,0.2288261254599645,-0.1138771391247373,0.16902018282043024,0.18343925224542912,0.5307307926273906
252,-0.4880952380952381,0.20046454100790653,-0.6885597791031446,-0.2876306970873316,-0.6541476042142937,-0.29029981880670497,0.027777777777777776,-0.17268676323012877,0.2282423187856843,-0.11343518396218619,0.1683700390987926,0.18247614475381577,0.5275653223302994
253,-0.4901185770750988,0.1999947324515581,-0.690113309526657,-0.2901238446235407,-0.655592160733792,-0.29289192762299493,0.02766798418972332,-0.17232674826183478,0.22766271664128143,-0.11299664748044827,0.16772487889165466,0.18152312064050247,0.5244371746488871
254,-0.4881889763779528,0.1995282159115541,-0.6877171922895069,-0.28866076046639866,-0.6532548142699746,-0.29170330408520584,0.027559055118110236,-0.17196916079344385,0.22708727102966433,-0.11256149000539556,0.16708463835199985,0.18152312064050247,0.5244371746488871
255,-0.49019607843137253,0.1990649543031134,-0.6892610327344859,-0.29113112412825914,-0.6546917662901037,-0.29427063698862116,0.027450980392156862,-0.17161397391095656,0.22651593469527026,-0.11212967178400826,0.1664492681914685,0.18058002821234714,0.5213457287903875
256,-0.4921875,0.19860491110969156,-0.6907924111096916,-0.2935825888903084,-0.6561168186599389,-0.2968196056317538,0.02734375,-0.17126116110969156,0.22594866110969156,-0.11170115298591554,0.16581871919333935,0.179646708955013,0.5182902976111939
257,-0.48638132295719844,0.19814805037203287,-0.6845293733292312,-0.28823327258516557,-0.6509374683933036,-0.2908509620664649,0.0311284046692607,-0.16701964570277217,0.22927645504129357,-0.10802283146733904,0.16962114799811212,0.18355073320120935,0.5257971606356194
258,-0.4883720930232558,0.1976943366774761,-0.686066429700732,-0.2906777563457797,-0.6523669826429945,-0.2933924918950989,0.031007751937984496,-0.1666865847394916,0.2287020886154606,-0.10761290315047711,0.16898381224898412,0.1826073678673765,0.522732257813538
259,-0.4826254826254826,0.19724373514950644,-0.679869217774989,-0.28538174747597617,-0.6472293411212537,-0.287494283845526,0.03474903474903475,-0.1624947004004717,0.23199276989854117,-0.10397220693499887,0.17273746954428182,0.18649706969818455,0.5301872132230115
260,-0.4807692307692308,0.19679621143754736,-0.6775654422067782,-0.2839730193316834,-0.644968802825763,-0.2863555688124436,0.03461538461538462,-0.16218082682216273,0.231411596052932,-0.10358041289907235,0.17209367402471026,0.18649706969818455,0.5301872132230115
261,-0.4827586206896552,0.19635173170698586,-0.6791103523966411,-0.2864068889826693,-0.646406551373416,-0.2888836218365307,0.034482758620689655,-0.16186897308629622,0.2308344903276755,-0.10319154632502589,0.1714546536577159,0.18554388598037608,0.5271132642263909
262,-0.4847328244274809,0.19591026262942488,-0.6806430870569058,-0.288822561798056,-0.6478326567484222,-0.29139399727564724,0.03435114503816794,-0.16155911759125693,0.23026140766759282,-0.10280558364536926,0.17082037293273983,0.1846004229705674,0.5240745707734042
263,-0.4866920152091255,0.19547177137315708,-0.6821637865822825,-0.2912202438359684,-0.6492472517626366,-0.29388688374381544,0.034220532319391636,-0.16125123905376543,0.22969230369254873,-0.1024225166088728,0.17019075325233396,0.18366653319148785,0.5210705268803035
264,-0.4810606060606061,0.19503622559385356,-0.6760968316544597,-0.2860243804667525,-0.6442047675902194,-0.2881057748401707,0.03787878787878788,-0.15715743771506568,0.23291501347264143,-0.0988626110960137,0.17386414212259382,0.18750362615133714,0.5283872679720444
265,-0.4830188679245283,0.19460359342546274,-0.677622461349991,-0.28841527449906557,-0.6456232717577015,-0.2905914043480494,0.03773584905660377,-0.15686774436885897,0.2323394424820665,-0.09849674212482741,0.17322837631657437,0.18656023510612882,0.5253744889344656
266,-0.4774436090225564,0.19417384347131283,-0.6716174524938692,-0.28326976555124356,-0.640620339073633,-0.2848763903392884,0.041353383458646614,-0.15282046001266622,0.23552722692995945,-0.09497230785681791,0.17685611243534802,0.19038361002338414,0.5326419280594166
267,-0.4794007490636704,0.1937469447954137,-0.6731476938590841,-0.2856538042682567,-0.642042517048143,-0.28735468154319666,0.04119850187265917,-0.15254844292275455,0.23494544666807288,-0.09462323137436915,0.17621449674113418,0.18943093482883816,0.5296208272523915
268,-0.48134328358208955,0.1933228669139519,-0.6746661504960414,-0.28802041666813766,-0.6434534325528501,-0.28981599628702925,0.03731343283582089,-0.156009434078131,0.2306362997497728,-0.09862391695157807,0.17250808684238747,0.18848777050309468,0.5266336287551702
