scenario,replicates,true_net_benefit,true_success_difference,true_safety_difference,boundary_gate,admissible,method,convention,deployments,deployment_rate,rate_ci_lower,rate_ci_upper,mean_runs_per_arm_used
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_compliance_allpairs_asympcs_projection_gaussian,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_nb_disjoint_gs_obf,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_success_disjoint_gs_obf,"single gate, ever rejected by n = 10000",510,0.051,0.046857920608897666,0.055486909927969896,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_compliance_disjoint_gs_obf,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_nb_disjoint_betting,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_success_disjoint_betting,"single gate, ever rejected by n = 10000",81,0.0081,0.006522289905863053,0.010055487691208582,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_compliance_disjoint_betting,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,win_only_allpairs_fixed_wald,single gate (convention-free),10000,1.0,0.9996160016293234,1.0,10000.0
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,guarded_allpairs_fixed_wald,single look (conventions coincide),550,0.055,0.05070013939854093,0.059641619151361236,10000.0
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,win_only_allpairs_gs_obf,single gate (convention-free),10000,1.0,0.9996160016293234,1.0,1000.0
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,guarded_allpairs_gs_obf_simultaneous,simultaneous (same-look conjunction; paper convention),540,0.054,0.049738938389422546,0.05860358815722096,9880.3
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,guarded_allpairs_gs_obf_retained,retained (each gate keeps its first crossing),545,0.0545,0.05021948667736563,0.059122655870907204,9878.1
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,win_only_allpairs_gs_pocock,single gate (convention-free),10000,1.0,0.9996160016293234,1.0,1000.0
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,guarded_allpairs_gs_pocock_simultaneous,simultaneous (same-look conjunction; paper convention),509,0.0509,0.04676195595728594,0.055382951379255765,9770.3
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,guarded_allpairs_gs_pocock_retained,retained (each gate keeps its first crossing),643,0.0643,0.05965779150234358,0.069276824677864,9683.3
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,win_only_allpairs_gs_hsd,single gate (convention-free),10000,1.0,0.9996160016293234,1.0,1000.0
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,guarded_allpairs_gs_hsd_simultaneous,simultaneous (same-look conjunction; paper convention),523,0.0523,0.04810587403933279,0.05683795810177102,9885.0
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,guarded_allpairs_gs_hsd_retained,retained (each gate keeps its first crossing),566,0.0566,0.05223891451718412,0.061301615237931865,9856.0
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,win_only_allpairs_asympcs_projection_gaussian,single gate (convention-free),10000,1.0,0.9996160016293234,1.0,100.485
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,guarded_allpairs_asympcs_projection_gaussian_simultaneous,simultaneous (same-look conjunction; paper convention),183,0.0183,0.015851953288404896,0.021117990741904933,9880.14
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,guarded_allpairs_asympcs_projection_gaussian_retained,retained (each gate keeps its first crossing),711,0.0711,0.06622602477244359,0.07630336902992278,9525.955
compliance_boundary,10000,0.45791286367940687,0.0,-0.010000000000000009,compliance,False,win_only_disjoint_gs_obf,single gate (convention-free),10000,1.0,0.9996160016293234,1.0,1000.0
