n,net_benefit,success_difference,radius,nb_lo,nb_hi,success_lo,success_hi
52,-0.4807692307692308,-0.019230769230769232,0.600279330337178,-1.0,0.11951009956794717,-0.6195100995679472,0.5810485611064087
53,-0.49056603773584906,-0.018867924528301886,0.5911896277364629,-1.0,0.10062359000061383,-0.6100575522647648,0.572321703208161
54,-0.5,-0.018518518518518517,0.582430233428972,-1.0,0.08243023342897204,-0.6009487519474905,0.5639117149104536
55,-0.509090909090909,-0.01818181818181818,0.5739831883667197,-1.0,0.06489227927581065,-0.5921650065485379,0.5558013701849015
56,-0.5178571428571429,-0.017857142857142856,0.5658318154049837,-1.0,0.047974672547840824,-0.5836889582621266,0.5479746725478408
57,-0.5263157894736842,-0.017543859649122806,0.5579606068737029,-1.0,0.03164481740001868,-0.5755044665228257,0.54041674722458
58,-0.5344827586206896,-0.034482758620689655,0.5503551237788924,-1.0,0.015872365158202784,-0.584837882399582,0.5158723651582028
59,-0.5423728813559322,-0.03389830508474576,0.5430019052542646,-1.0,0.0006290238983324148,-0.5769002103390104,0.5091036001695188
60,-0.55,-0.03333333333333333,0.5358883870672124,-1.0,-0.01411161293278762,-0.5692217204005457,0.5025550537338791
61,-0.5573770491803278,-0.03278688524590164,0.5290028281401474,-1.0,-0.028374221040180392,-0.5617897133860491,0.4962159428942458
62,-0.5645161290322581,-0.03225806451612903,0.522334244182247,-1.0,-0.042181884850011064,-0.5545923086983761,0.49007617966611805
63,-0.5714285714285714,-0.031746031746031744,0.5158723476415805,-1.0,-0.05555622378699088,-0.5476183793876123,0.4841263158955488
64,-0.578125,-0.046875,0.5096074932863347,-1.0,-0.0685175067136653,-0.5564824932863347,0.4627324932863347
65,-0.5846153846153846,-0.046153846153846156,0.503530628808942,-1.0,-0.0810847558064427,-0.549684474962788,0.4573767826550958
66,-0.5909090909090909,-0.045454545454545456,0.49763324992038943,-1.0,-0.09327584098870151,-0.5430877953749349,0.45217870446584396
67,-0.5970149253731343,-0.04477611940298507,0.49190735946559877,-1.0,-0.1051075659075355,-0.5366834788685838,0.4471312400626137
68,-0.5882352941176471,-0.04411764705882353,0.48634543014595233,-1.0,-0.10188986397169475,-0.5304630772047758,0.4422277830871288
69,-0.5942028985507246,-0.057971014492753624,0.4809403704830333,-1.0,-0.11326252806769133,-0.538911384975787,0.4229693559902797
70,-0.6,-0.05714285714285714,0.4756854936994687,-1.0,-0.12431450630053126,-0.5328283508423258,0.41854263655661156
71,-0.6056338028169014,-0.056338028169014086,0.4705744892292838,-1.0,-0.13505931358761758,-0.5269125173982979,0.41423646106026973
72,-0.5972222222222222,-0.05555555555555555,0.46560139660212596,-1.0,-0.13162082562009625,-0.5211569521576815,0.4100458410465704
73,-0.6027397260273972,-0.0547945205479452,0.46076058147373905,-1.0,-0.14197914455365818,-0.5155551020216842,0.40596606092579385
74,-0.6081081081081081,-0.06756756756756757,0.4560467135996707,-1.0,-0.15206139450843742,-0.5236142811672383,0.3884791460321031
75,-0.6133333333333333,-0.06666666666666667,0.45145474657084994,-1.0,-0.16187858676248335,-0.5181214132375166,0.3847880799041833
76,-0.5921052631578947,-0.05263157894736842,0.446979899148768,-1.0,-0.14512536400912668,-0.49961147809613643,0.3943483202013996
77,-0.5974025974025974,-0.05194805194805195,0.4426176380548478,-1.0,-0.1547849593477496,-0.49456569000289974,0.3906695861067958
78,-0.5769230769230769,-0.038461538461538464,0.4383636620835053,-1.0,-0.13855941483957157,-0.47682520054504374,0.39990212362196687
79,-0.5822784810126582,-0.0379746835443038,0.43421388742162054,-1.0,-0.14806459359103769,-0.4721885709659243,0.39623920387731676
80,-0.5875,-0.0375,0.43016443406886173,-1.0,-0.1573355659311383,-0.4676644340688617,0.39266443406886176
81,-0.5679012345679012,-0.024691358024691357,0.4262116132637332,-0.9941128478316343,-0.141689621304168,-0.45090297128842455,0.40152025523904183
82,-0.573170731707317,-0.024390243902439025,0.42235191582949855,-0.9955226475368155,-0.15081881587781848,-0.4467421597319376,0.3979616719270595
